shapeid,partid,x,y,Name
1,0,574567,150740.1094,100-D/DR Area
1,0,574563.8125,150737.875,100-D/DR Area
1,0,574562.625,150737.1563,100-D/DR Area
1,0,574559,150735.0781,100-D/DR Area
1,0,574557.5,150734.3438,100-D/DR Area
1,0,574553.625,150732.6875,100-D/DR Area
1,0,574552.0625,150732.1094,100-D/DR Area
1,0,574548,150730.8906,100-D/DR Area
1,0,574546.375,150730.5,100-D/DR Area
1,0,574542.25,150729.7344,100-D/DR Area
1,0,574540.8125,150729.5469,100-D/DR Area
1,0,574534.9375,150729.0469,100-D/DR Area
1,0,574529,150728.6875,100-D/DR Area
1,0,574523.125,150728.4531,100-D/DR Area
1,0,574517.125,150728.3438,100-D/DR Area
1,0,574501.625,150728.4688,100-D/DR Area
1,0,574476.375,150728.8125,100-D/DR Area
1,0,574473.875,150728.8594,100-D/DR Area
1,0,574449,150727.2813,100-D/DR Area
1,0,574447.75,150727.2656,100-D/DR Area
1,0,574418.25,150727.9063,100-D/DR Area
1,0,574368.4375,150727.7813,100-D/DR Area
1,0,574318.8125,150727.4375,100-D/DR Area
1,0,574258.875,150727.2656,100-D/DR Area
1,0,574200.0625,150727.0781,100-D/DR Area
1,0,574196.0625,150727.0625,100-D/DR Area
1,0,574150.75,150726.9531,100-D/DR Area
1,0,574108,150726.7969,100-D/DR Area
1,0,574079.1875,150726.8906,100-D/DR Area
1,0,574063,150726.8281,100-D/DR Area
1,0,574052.625,150726.7813,100-D/DR Area
1,0,574045.125,150726.7031,100-D/DR Area
1,0,574022.9375,150726.5,100-D/DR Area
1,0,573978.0625,150726.2031,100-D/DR Area
1,0,573974.5625,150726.2188,100-D/DR Area
1,0,573970.5,150726.2344,100-D/DR Area
1,0,573916.3125,150726.4844,100-D/DR Area
1,0,573877.875,150726.875,100-D/DR Area
1,0,573827.125,150726.4531,100-D/DR Area
1,0,573808.8125,150726.4531,100-D/DR Area
1,0,573805.75,150726.4531,100-D/DR Area
1,0,573781.875,150726.3906,100-D/DR Area
1,0,573769.6875,150726.3438,100-D/DR Area
1,0,573728.25,150726.2188,100-D/DR Area
1,0,573692,150726.125,100-D/DR Area
1,0,573636.125,150726.0156,100-D/DR Area
1,0,573584.375,150725.7813,100-D/DR Area
1,0,573511.25,150725.625,100-D/DR Area
1,0,573449.9375,150725.3906,100-D/DR Area
1,0,573394.0625,150725.5938,100-D/DR Area
1,0,573304.9375,150725.5156,100-D/DR Area
1,0,573300,150725.5,100-D/DR Area
1,0,573280.75,150725.4688,100-D/DR Area
1,0,573237.0625,150725.1563,100-D/DR Area
1,0,573205.25,150725.0781,100-D/DR Area
1,0,573194.0625,150725.0469,100-D/DR Area
1,0,573187.5,150725.0313,100-D/DR Area
1,0,573159.3125,150724.9688,100-D/DR Area
1,0,573133,150725,100-D/DR Area
1,0,573106,150724.875,100-D/DR Area
1,0,573085.8125,150724.7813,100-D/DR Area
1,0,573064.8125,150724.5938,100-D/DR Area
1,0,573049.25,150724.2656,100-D/DR Area
1,0,573010.8125,150724.8594,100-D/DR Area
1,0,572971.875,150723.9688,100-D/DR Area
1,0,572939.5625,150723.7969,100-D/DR Area
1,0,572898.3125,150723.8125,100-D/DR Area
1,0,572852.4375,150723.625,100-D/DR Area
1,0,572827.625,150723.5938,100-D/DR Area
1,0,572802.4375,150723.5313,100-D/DR Area
1,0,572797.125,150723.5313,100-D/DR Area
1,0,572781.625,150723.5,100-D/DR Area
1,0,572743.3125,150723.2656,100-D/DR Area
1,0,572723.8125,150723.4219,100-D/DR Area
1,0,572722.3125,150723.5,100-D/DR Area
1,0,572719.8125,150723.7656,100-D/DR Area
1,0,572718,150723.9531,100-D/DR Area
1,0,572715.8125,150724.1875,100-D/DR Area
1,0,572713.375,150724.4844,100-D/DR Area
1,0,572710.625,150724.9219,100-D/DR Area
1,0,572708.1875,150725.4063,100-D/DR Area
1,0,572706.1875,150725.8594,100-D/DR Area
1,0,572703.875,150726.4063,100-D/DR Area
1,0,572701.1875,150727.125,100-D/DR Area
1,0,572698.25,150728.0938,100-D/DR Area
1,0,572696.1875,150728.8906,100-D/DR Area
1,0,572695,150729.4219,100-D/DR Area
1,0,572693,150730.4219,100-D/DR Area
1,0,572691.8125,150731.0938,100-D/DR Area
1,0,572689.875,150732.2656,100-D/DR Area
1,0,572688.9375,150732.8906,100-D/DR Area
1,0,572687.125,150734.2031,100-D/DR Area
1,0,572686.3125,150734.8281,100-D/DR Area
1,0,572683.9375,150736.8438,100-D/DR Area
1,0,572681.75,150738.9688,100-D/DR Area
1,0,572680.5,150740.2813,100-D/DR Area
1,0,572679.6875,150741.125,100-D/DR Area
1,0,572677.8125,150743.375,100-D/DR Area
1,0,572676.25,150745.4219,100-D/DR Area
1,0,572674.875,150747.5,100-D/DR Area
1,0,572673.625,150749.5938,100-D/DR Area
1,0,572672.4375,150751.7188,100-D/DR Area
1,0,572671.375,150753.8594,100-D/DR Area
1,0,572670.4375,150755.9219,100-D/DR Area
1,0,572669.6875,150757.75,100-D/DR Area
1,0,572669,150759.7188,100-D/DR Area
1,0,572668.3125,150761.8438,100-D/DR Area
